music_id,music_name,singer,comment_num
480409263,Dancing Is The Best Revenge,!!!,36
419830022,Prototype,OutKast,11
20707813,Arrow Through Me,Wings,5
5264840,Going home,Kenny G,55195
1355344613,Ashamed,Omar Apollo,157
558261233,夜的钢琴曲五,邓壬鑫,7800
1329387797,I Just Might Crack,The Makers,1
443242,Summer,久石譲,63116
29561063,夜空的寂静,赵海洋,31374
22960662,La forêt,Lescop,43
5271400,寂静之声,贵族乐团,39671
420125745,Reset （纯钢琴完整版）,Various Artists,3622
519130531,梦中的雪,邱有句/AirS1991,2258
5346651,복숭아,IU,37472
402070861,IF,Elsa Kopf,2144
460112226,Kiss Fight,gnash/Tülpa,10296
35848033,푸르던,IU,8979
28059417,他不懂,张杰,43638
29814898,可惜没如果,林俊杰,148369
862114367,说谎（Cover：林宥嘉）,郁欢,21024
452986458,红昭愿,音阙诗听,143907
525086802,love9,江辰,79685
1377078201,离岸,苏晗,97767
427606780,Windy Hill,羽肿,56989
402073804,信仰 (Live),张信哲,28721
405599470,疑心病,任然,75451
139774,The truth that you leave,Pianoboy高至豪,573714
462769331,独行侠,YKEY/Namunong,68515
190788,曾经爱过你,郑源,178
1342771403,失眠,周思涵,6058
1359356908,晚安,颜人中,233070
1318840220,自我,乐思言,2730
35440198,一直在等,本兮,27841
465921195,还是分开,张叶蕾,104986
553755659,可不可以,张紫豪,450780
1373236574,得不到你,隔壁老樊,127948
255294,我很快乐,刘惜君,70204
430685732,Rain after Summer,羽肿,144009
1307010008,最后没有你,周星辰,7276
1328146041,下坠Falling,Corki,69814
1323035048,或许你忘了,季彦霖,1188
863492743,离开你的城市后,陈壹千,18770
578090,いのちの名前,広橋真紀子,46084
29897546,拿走了什么,A-Lin,41094
460578140,感谢你曾来过,周思涵/Ayo97,339754
28018075,你就不要想起我,田馥甄,238155
1357816405,只是太爱你,丁芙妮,31655
1383876635,迷人的危险,尚士达,50450
760037,Adagio for Summer Wind,清水準一,22537
543798652,少一点天分,孙盛希,70280
1356350562,这一生关于你的风景,枯木逢春,157648
564879750,空白格（Cover：蔡健雅）,陳梦嘉,7538
1338146062,离开的借口,刘瑞琦,3446
31546893,对不起, 我还爱你,回音哥,13803
1327961322,可不可以迟一点遇见你,梁百伦,7030
529834079,你听得见吗 (내 마음 들리나요 Remix),孤矢/颠倒/王舒楠,5021
449818741,光年之外,G.E.M.邓紫棋,131871
1368327462,耿,汪苏泷,75676
607406,いつか来た道,妹尾武,356
208902,红色高跟鞋,蔡健雅,251189
28457502,あこがれ,岩崎元是,321
30870642,有哉と美月,中西亮輔,7287
4935430,言の叶 ~悲怆~,七瀬光,371
586299,風の住む街,磯村由紀子,128850
1327205635,come out and play,Billie Eilish,4072
729228,月夜の潮騒,マンダリン,581
