music_id,music_name,singer,comment_num
1411718813,我是一只鱼,落日飞车,37857
26127544,放爱情一个假,萧亚轩,1354
1431866827,100 Ways,王嘉尔,289870
1359289775,春天的歌,朱星杰,19167
410801653,啷个哩个啷,鹏泊,83529
514765154,世界上的另一个我,阿肆/郭采洁,59886
5272970,浪花一朵朵,任贤齐/光良/阿牛,6172
1380288747,想对你说,小潘潘（潘柚彤）,1206
1362247767,别叫我达芬奇,Lil Ghost小鬼,112623
1411807686,这么冷的天,小曲大爱,1620
1415829224,零几年听的情歌,AY楊佬叁,46147
139357,生如夏花,朴树,35552
1404906595,没有理由,杨胖雨/Lambert,123775
25642139,春雨里洗过的太阳,王力宏,3351
1311346560,跟我在一起,很美味,18531
381821,再见杰克,痛仰乐队,26835
497034035,陪着你走,Gibb-Z/ICE,35058
1341188360,环游星空,Gifty,11749
28665054,不安小姐,徐佳莹,1136
399353128,鲨啦啦,鹏泊,15676
150617,找自己,陶喆,5846
571854148,第二杯半价,纳豆,10210
551337729,少女之酒,祁紫檀,1454
4874555,彩虹的微笑,王心凌,17017
374910,他夏了夏天,苏打绿,14865
239682,蝴蝶泉边,黄雅莉,35880
863709049,夏风,Gifty,16804
28188427,棠梨煎雪,银临,24001
1351551838,我愿意平凡的陪在你身旁,王七七,28859
36895537,采茶纪,双笙,35901
569870903,大人,焦迈奇,8462
1347692190,独居男子,沈以诚,18273
355989,水手公园,GALA,3863
255809,中意他,梁咏琪,3146
552021894,小花猫,南游记乐队,1172
434070628,现在就出发,土不叔叔乐队,15732
350942,永远在身边,大嘴巴,7267
30089063,遇见你的时候所有星星都落到我头上,高姗,44887
1365898499,失眠飞行,接个吻，开一枪/沈以诚/薛明媛,135390
4878033,Para Para Sakura,郭富城,9732
1294924781,卡路里,火箭少女101,80286
1406709943,普通女孩,宇宝.,2553
209643,日不落,蔡依林,35796
245625,爱啦啦,海楠,28425
5247683,怎么办,S.H.E,5194
316752,处处吻,杨千嬅,4334
187672,烦恼歌,张学友,38345
480769050,远辰落身旁,谢春花,3639
1374489910,一个,陈壹千,57400
28875230,晚安喵,艾索,57336
553815178,静悄悄,陈泫孝（大泫）,101086
254285,下个，路口，见,李宇春,40763
191726,只因为你,张栋梁,4524
357253,穷开心,花儿乐队,14995
554191378,我乐意,许嵩,77100
108463,不潮不用花钱,林俊杰,17562
297778,睫毛弯弯,王心凌,10179
240125,小永远,何洁,23973
1377544581,追风,颜人中,20182
504624714,青柠,徐秉龙/桃十五,63842
254265,宁夏,梁静茹,6467
507532178,China,习谱予,9215
394653,坐在巷口的那对男女,自然卷,37014
139889,壁虎漫步,潘玮柏,6164
255907,胆小鬼,梁咏琪,32928
534540498,藏,徐梦圆/双笙,57905
168039,海芋恋,萧敬腾,12511
407759199,布谷鸟,安子与九妹,9099
35283475,哪里都不想去,隔壁团乐队,1233
371362,小跳蛙,青蛙,146465
476987525,咖喱咖喱,牛奶咖啡,40124
354601,你的微笑,F.I.R.,26169
287248,第一天,孙燕姿,13829
208889,别找我麻烦,蔡健雅,25520
385973,恋爱ing,五月天,10469
108910,豆浆油条,林俊杰,14974
139808,快乐崇拜,潘玮柏/张韶涵,39308
1361239052,元气夏天,刘瑞琦,9676
370599,合肥的石头,飘乐队,2394
438904041,噻啰噻,木江子乐队,1081
462895457,Real Upgrade,Tink,119
1377325720,neeeeeeeeeeeeeeedy,pxzvc,307
421423712,Reverie,Spire,2426
520460268,Mirage,Satin Jackets,2469
1372897252,Costa Rica,Benjamin Ingrosso,2794
436514332,Stay Sane,SRNO/Naaz,1526
1363882570,My Dude,Litany,2531
1364123517,Real,Thuy,205
1401302504,Say So,Doja Cat,5058
41667467,Beside Me,Veshza,1532
1374272691,Somebody,Sire,30
502691904,Smile,Leven Kali,208
1341443906,Love Me Like You Hate Me,Kira Kosarin,61
1333387362,Alright,Chris James,150
1375691650,the stage,Shura,833
462895451,Aquafina,Tink,1033
1374446646,I Love You 3000,Stephanie Poetri,6813
1319690171,Cry,Colette Lush,378
1316562795,dear nostalgia,Kid Travis,922
475207058,Love Galore,SZA/Travis Scott,1988
1395822306,All Tinted,Wolftyla,379
1334296061,Lullaby,UMI/Yeek,346
1403699842,Love Songs,kaash paige,9484
549800383,It's You,Sezairi,711
1361100693,Heaven,Isyana Sarasvati/Afgan/Rendy Pandugo,1123
456094949,Easier,Mansionair,3162
523248095,Dark &amp; Stormy,Croosh,2325
27542415,Give You Up (feat. KLP) (Darius Remix),Le Crayon,1530
1304857466,Siren,Kailee Morgue,3623
531777634,Sativa,Jhene Aiko/Rae Sremmurd,1295
1313898022,between us,demxntia,2964
419594455,She Don't,Ella Mai/Ty Dolla $ign,2672
1327278933,Remember Me,UMI,1031
508903608,I'll Wait...,Chrystian Lehr,395
554191365,Brooklyn Love,Lolo Zouaï,837
1376093500,Down,Ilham/Lil Cobaine,115
1325896080,You re So Fine,J.O.Y/Fornicras,100
1313052888,Still Mine,alextbh,1528
426501086,Playing For You ,Joe Hertz/Bassette,2133
521416266,Wildflower,Kole,25
1368380466,Down to Earth,UMI,249
1351225099,Tunnels,Croosh,336
1362236475,In Secret,Sezairi,60
1394492944,Take One To The Head,Sabrina Claudio,401
1300939626,You Got Me Like,Shaed/snny,1414
470601589,Afraid,Xavier Omär,931
1315441772,Run,LANY,301
1377476005,no space,alextbh,1973
1382547411,Real Love,illstrtd/Françoistunes,1057
1356668869,All Year,11:11,205
448917221,Moving On,Matt Black,47
448916225,Beretta,Matt Black,1713
487648641,⭐,原子,155
537361336,✨,__Nell,137
505471897,✨,Lynn,229
1417481749,star⭐,Ggravee/ugly zucc,20
508393410,✨（inst.),Anci/Maple,338
1308594737,Oh！哈尼 ✨,张彵凡,171
1299570103,✨ramune✨,Ujico*/Snail's house,56
545488941,✨✨✨✨✨,nevva,636
1316226806,⭐️ColdStar✨,KimmyCat,290
487467531,✨午夜漫步✨,传琦SAMA,243
482999927,✨Dragon Bae✨,K.Kun,80
1354808772,A Friday Night!✨,Skud Newbie/Chills,53
41645158,キラリ⭐未来へ,CLIFF EDGE,37
1424191560,✨sooner than later,jstnprks,4
540192796,starry starry night⭐️,真菌,140
483242011,⭐⭐⭐STARS⭐⭐⭐,K.Kun,80
482565639,⭐ ᴄ̷ᴀ̷ɴ̷'̷ᴛ̷ ̷ғ̷ᴏ̷ʀ̷ɢ̷ᴇ̷ᴛ̷ ̷ʏ̷ᴏ̷ᴜ̷!̷ ⭐,廖喜庆,91
487028253,☆。・゜。✨ty for 2k all ✨。゜・。☆,niteboi,31
1318969328,⭐️Stardust 2018-10-20 01_00_22,萌萌哒的徐老师,20
1395720371,✧,沙皮,1094
1416047360,✧,山氿,6
1297503091,✭,Mr.YEUNG,11
1377021806,✯,Roccky,550
553093515,✡,Wmoons,39
36089479,☆,今井絵理子,115
1383219833,☆,old8ight,2
520413769,☆,KATANA99,30
1321640336,☆,忆乡,13
1367360604,☆.,go missing,3731
1390225775,☆,Chloe Wonderland,726
1380590404,✦,oIMFINEo,5
29753852,★,陈粒,10147
422428992,★,Lopu$,1204
1348435860,★,We live forever,48
521061760,★,Clarence人造人,353
